state,breweries,clinton_per,trump_per,who_won
Alabama,3,34.7,62.7,Trump
Alaska,7,37.6,52.8,Trump
Arizona,11,45.5,49.0,Trump
Arkansas,2,33.7,60.6,Trump
California,39,62.3,31.9,Clinton
Colorado,47,48.2,43.3,Clinton
Connecticut,8,54.7,41.0,Clinton
Delaware,2,53.4,41.9,Clinton
Florida,15,92.8,4.2,Clinton
Georgia,7,47.8,49.9,Trump
Hawaii,4,45.9,51.0,Trump
Idaho,5,62.2,30.0,Clinton
Illinois,18,27.5,59.3,Trump
Indiana,22,56.0,38.9,Clinton
Iowa,5,37.9,57.2,Trump
Kansas,3,42.2,51.7,Trump
Kentucky,4,36.3,57.0,Trump
Louisiana,5,32.7,62.5,Trump
Maine,9,38.4,58.1,Trump
Maryland,7,48.0,45.0,Clinton
Massachusetts,23,61.3,34.5,Clinton
Michigan,32,61.0,33.3,Clinton
Minnesota,12,47.4,47.6,Trump
Mississippi,2,46.9,45.3,Clinton
Missouri,9,40.1,57.9,Trump
Montana,9,38.2,56.9,Trump
Nebraska,5,35.9,56.5,Trump
Nevada,2,34.4,59.9,Trump
New Hampshire,3,47.9,45.5,Clinton
New Jersey,3,47.6,47.2,Clinton
New Mexico,4,55.5,41.4,Clinton
New York,16,48.3,40.0,Clinton
North Carolina,19,59.5,36.8,Clinton
North Dakota,1,46.8,50.5,Trump
Ohio,15,27.7,64.1,Trump
Oklahoma,6,43.7,51.8,Trump
Oregon,29,28.9,65.3,Trump
Pennsylvania,25,52.0,40.6,Clinton
Rhode Island,5,47.9,48.6,Trump
South Carolina,4,55.5,39.7,Clinton
South Dakota,1,40.7,54.9,Trump
Tennessee,3,31.7,61.5,Trump
Texas,28,34.9,61.1,Trump
Utah,4,43.5,52.5,Trump
Vermont,10,27.5,45.5,Trump
Virginia,16,61.1,32.6,Clinton
Washington,23,50.2,44.8,Clinton
West Virginia,1,54.3,38.1,Clinton
Wisconsin,20,26.5,68.6,Trump
Wyoming,4,47.0,47.8,Trump
